nmc_nmcpin,nmc_nmctitlename,nmc_firstname,nmc_maidenname,nmc_lastname,nmc_dateofbirth,nmc_gender,nmc_nationalityname,nmc_countryofbirthname,nmc_email,nmc_addressline1,nmc_addressline2,nmc_addressline3,nmc_city,nmc_postcode,nmc_countryname,nmc_traininginstitutecode,nmc_trainingtype,nmc_programme,nmc_academicroute,nmc_coursestartdate,nmc_courseenddate,nmc_trainingexampassdate,nmc_trainingstartdate,nmc_trainingcompletiondate
16H0404E,Miss,ROSE 1,,LEE,20020524,F,Nigerian,Nigeria,2211471@uknmc.org,London Road 1,BOLTON,,Woodford,CM168AH,England,1315,R,SC1,B Nurs (Hons),20200901,20290901,20260812,20220919,20260812
16H0405E,Miss,ROSE 2,,LEE,20040321,F,British,England,2211471@uknmc.org,London Road 2,TARPORLEY,CHESHIRE,Woodford,CM160BS,England,1315,R,SC1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0406E,Miss,ROSE 3,,LEE,20050331,F,British,England,2211471@uknmc.org,London Road 3,LIVERPOOL,,Woodford,CM162HR,England,1315,R,SC1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0407E,Miss,ROSE 4,,LEE,20050102,F,British,England,2211471@uknmc.org,London Road 4,WIDNES,CHESHIRE,Woodford,CM169NE,England,1315,R,SC1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0408E,Miss,ROSE 5,,LEE,20000614,F,British,England,2211471@uknmc.org,London Road 5,BIRKENHEAD,MERSEYSIDE,Woodford,CM163XR,England,1315,R,SC1,B Nurs (Hons),20200901,20290901,20260812,20220919,20260812
16H0409E,Miss,ROSE 6,,LEE,20040910,F,British,England,2211471@uknmc.org,London Road 6,WISTASTON,CREWE,CHESHIRE,CM168JX,England,1315,R,SC1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0410E,Miss,ROSE 7,,LEE,20000921,F,British,England,2211471@uknmc.org,London Road 7,VICARS CROSS,CHESTER,CHESHIRE,CM165HG,England,1315,R,SC1,B Nurs (Hons),20200901,20290901,20260812,20240923,20260812
16H0411E,Miss,ROSE 8,,LEE,20050730,F,British,England,2211471@uknmc.org,London Road 8,UPTON,NORTHAMPTON,Woodford,CM164DG,England,1315,R,SC1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0412E,Miss,ROSE 9,,LEE,20050205,F,British,England,2211471@uknmc.org,London Road 9,BIRKENHEAD,MERSEYSIDE,Woodford,CM167JD,England,1315,R,SC1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0413E,Miss,ROSE 10,,LEE,20030426,F,British,England,2211471@uknmc.org,London Road 10,SHREWSBURY,SHROPSHIRE,Woodford,CM166SR,England,1315,R,SC1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0414E,Miss,ROSE 11,,LEE,20040616,F,British,England,2211471@uknmc.org,London Road 11,MANCHESTER,GREATER MANCHESTER,Woodford,CM166PL,England,1315,R,SC1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0415E,Miss,ROSE 12,,LEE,20041101,F,British,England,2211471@uknmc.org,London Road 12,BLACON,CHESTER,CHESHIRE,CM165BU,England,1315,R,SC1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0416E,Miss,ROSE 13,,LEE,20050521,F,British,Wales,2211471@uknmc.org,London Road 13,PENTWYN CRUMLIN,NEWPORT,CAERFFILI,CM163JH,Wales,1315,R,SC1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0417E,Miss,ROSE 14,,LEE,20000328,F,Zairean/Congolese,Tanzania,2211471@uknmc.org,London Road 14,BOLTON,GREATER MANCHESTER,Woodford,CM164BZ,England,1315,R,SC1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
