nmc_pin,nmc_lastname,nmc_firstname,nmc_regexpirydate,nmc_addedby,nmc_createdon,nmc_institutecode,nmc_institutename,nmc_aeiprogrammetitle,nmc_trainingtypecode,nmc_programmecode,nmc_academiclevel,mc_qualificationroute,nmc_registerpart1,nmc_registerpart2,nmc_registerpart3,nmc_practicetype1,nmc_practicetype2,nmc_practicetype3,nmc_active,nmc_course1trainingtypecode,nmc_course1programmecode,nmc_course1academiclevel,mc_course1qualificationroute,nmc_course2trainingtypecode,nmc_course2programmecode,nmc_course2academiclevel,mc_course2qualificationroute,nmc_course3trainingtypecode,nmc_course3programmecode,nmc_course3academiclevel,mc_course3qualificationroute,nmc_course4trainingtypecode,nmc_course4programmecode,nmc_course4academiclevel,mc_course4qualificationroute,nmc_course5trainingtypecode,nmc_course5programmecode,nmc_course5academiclevel,mc_course5qualificationroute
26H0401Z,Young,Mary 1,16/09/2027,Rick Flair,19/11/2025,1315,University of Chester,AN - Adult Nursing,R,AN1,B Nurs (Hons),F,Nursing,Nursing,Nursing,Nursing,,,Yes,R,AN1,B Nurs (Hons),F,,,,,,,,,,,,,,,,
26H0402Z,Young,Mary 2,17/09/2027,Rick Flair,18/11/2025,1315,University of Chester,MW - Midwifery,M,MW1,Level 6,F,Midwifery,,Midwifery,Midwifery,,,Yes,M,MW1,Level 6,F,,,,,,,,,,,,,,,,
26H0403Z,Young,Mary 3,18/09/2027,Sai NMC AEI Admin,17/11/2025,1315,University of Chester,SC1 - Child Nursing,R,SC1,B Nurs (Hons),A,Nursing,,Nursing,Nursing,,,Yes,R,SC1,B Nurs (Hons),A,,,,,,,,,,,,,,,,
26H0404Z,Young,Mary 4,19/09/2027,Sai Authorized Signatory,13/11/2025,1315,University of Chester,SCPHN - Specialist Community Public Health Nursing,S,DF3,PG Dip,A,SCPHN,Nursing,Nursing,SCPHN,,,Yes,S,DF3,PG Dip,A,,,,,,,,,,,,,,,,
26H0405Z,Young,Mary 5,20/09/2027,Sai NMC AEI Admin,18/06/2025,1315,University of Chester,AN - Adult Nursing,R,AN1,B Nurs (Hons),F,Nursing,Nursing,Nursing,Nursing,,,Yes,R,AN1,B Nurs (Hons),F,,,,,,,,,,,,,,,,
26H0406Z,Young,Mary 6,21/09/2027,Harry Harrison DC,04/04/2025,1315,University of Chester,MW - Midwifery,M,MW1,Level 6,F,Midwifery,,Midwifery,Midwifery,,,Yes,M,MW1,Level 6,F,,,,,,,,,,,,,,,,
26H0407Z,Young,Mary 7,22/09/2027,Rick Flair,30/01/2025,1315,University of Chester,MN - Adult Mental Health,F,SC1,B Nurs (Hons),A,Nursing,,Nursing,Nursing,,,Yes,F,SC1,B Nurs (Hons),A,,,,,,,,,,,,,,,,
26H0408Z,Young,Mary 8,23/09/2027,Rick Flair,11/10/2024,1315,University of Chester,SCPHN - Specialist Community Public Health Nursing,S,DF3,PG Dip,A,SCPHN,Nursing,Nursing,SCPHN,,,Yes,S,DF3,PG Dip,A,,,,,,,,,,,,,,,,
26H0409Z,Young,Mary 9,24/09/2027,open application,27/09/2024,1315,University of Chester,AN - Adult Nursing,R,AN1,B Nurs (Hons),F,Nursing,Nursing,Nursing,Nursing,,,Yes,R,AN1,B Nurs (Hons),F,,,,,,,,,,,,,,,,
26H0410Z,Young,Mary 10,25/09/2027,tethei testsurname,11/09/2024,1315,University of Chester,MW - Midwifery,M,MW1,Level 6,F,Midwifery,,Midwifery,Midwifery,,,Yes,M,MW1,Level 6,F,,,,,,,,,,,,,,,,
